referee_id,name,source_lots,raw_rows,unique_event_rows,duplicates_removed
85870,Damaso Arcediano Monescillo,120,50,50,0
86338,Edwin Van de Graaf,240,50,50,0
86938,Jens Maae,360,50,50,0
88698,Oliver Langford,480|FINAL,50,50,0
88704,Lee Swabey,360,50,50,0
89559,Helder Malheiro,240,50,50,0
90021,Mickael Leleu,480|FINAL,50,50,0
90844,Mohammed Al-Hakim,480|FINAL,50,50,0
91485,David Webb,240,100,50,50
92295,Espen Eskas,240,50,50,0
92309,Adrian Viorel Cojocaru,120,50,50,0
92314,Iulian Calin,360,100,50,50
96648,Glenn Nyberg,240,50,50,0
101894,Alexandre Perreau Niel,120,50,50,0
102665,Timo Gerach,FINAL,50,50,0
102954,Sven Jablonski,FINAL,50,50,0
102955,Daniel Schlager,120,50,50,0
102956,Benjamin Brand,120,50,50,0
103168,Robert Schröder,480|FINAL,50,50,0
104864,Paul Tierney,480|FINAL,50,50,0
106247,Sebastian Stockbridge,FINAL,100,50,50
107059,Chris Kavanagh,120,50,50,0
108401,Tim Robinson,FINAL,50,50,0
108406,Charles Breakspear,120,50,50,0
113644,Fabio Jose Costa Verissimo,240,50,50,0
114242,Sigurd Smehus Kringstad,FINAL,50,50,0
118273,Tore Hansen,FINAL,50,50,0
121217,Rohit Saggi,480|FINAL,50,50,0
123311,Florian Badstubner,240,50,50,0
126984,Davide Massa,240,100,50,50
127416,Ingmar Oostrom,240,50,50,0
127921,Sören Storks,FINAL,50,50,0
127941,Max Burda,480|FINAL,50,50,0
130151,Jeroen Manschot,360,50,50,0
130207,Martin Perez,480|FINAL,50,50,0
130916,Maurizio Mariani,480|FINAL,50,50,0
131474,Michael Fabbri,480|FINAL,50,50,0
132287,Gianluca Manganiello,240,50,50,0
132765,Fabio Maresca,240,50,50,0
132779,Federico La Penna,240,50,50,0
133978,Angelos Evangelou,120,50,50,0
137333,Sandro Schärer,FINAL,100,50,50
138289,Jarred Gillett,360,50,50,0
141037,Andre Filipe Domingues Narciso,120,50,50,0
144315,Michael Salisbury,480|FINAL,50,50,0
148307,Fedayi San,240,50,50,0
148992,Lukas Fahndrich,360,50,50,0
157707,Jérôme Brisard,360,50,50,0
171215,Eric Lambrechts,240,50,50,0
172185,Rosario Abisso,480|FINAL,50,50,0
179011,Iosu Galech Apezteguia,240,50,50,0
179917,Juan Luca Sacchi,360,50,50,0
180269,Urs Schnyder,FINAL,50,50,0
181557,Erwin Blank,240,50,50,0
183399,Marco Piccinini,360,50,50,0
184579,German Cid Camacho,240,50,50,0
217954,Nicolas Laforge,480|FINAL,50,50,0
222742,Joao Pedro Pinheiro,360,50,50,0
225478,Horatiu Fesnic,240,50,50,0
229712,Ricardo Baixinho,480|FINAL,50,50,0
232870,Marius Lien,360,50,50,0
234858,Armando Villarrea,120,50,50,0
240988,Ben Toner,120,50,50,0
241374,Allen Chapman,120,50,50,0
243151,Wagner do Nascimento Magalhaes,FINAL,50,50,0
243495,Raphael Claus,480|FINAL,50,50,0
243629,Flavio Rodrigues De Souza,240,50,50,0
243701,Wilton Pereira Sampaio,FINAL,50,50,0
244037,Anderson Daronco,120,50,50,0
250983,Michael Bacher,480|FINAL,50,50,0
256391,Alvaro Moreno Aragon,120,50,50,0
260125,Vasilica Iancu,FINAL,50,50,0
262437,Fernando Echenique,240,50,50,0
272661,Richard Martens,480|FINAL,50,50,0
273389,Livio Marinelli,360,50,50,0
281869,Lukas Benen,360,23,23,0
314522,Chris Penso,120,50,50,0
316018,Fotis Bazakos,240,50,50,0
