referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
788626,Gabriel Henry,16386263,28/08/2026,2026-08-28,182,Ligue 2,Ligue 2,Clermont Foot,Sochaux,0,0,2,0,20,78,15,15,30,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 81' [Amarilla - Foul] | Min 78' [Amarilla - Persistent fouling]
788626,Gabriel Henry,16386169,14/08/2026,2026-08-14,182,Ligue 2,Ligue 2,Dijon,Pau FC,0,1,2,0,20,67,11,17,28,0,2,0,0,0,0,2,0,0,0,0,2,0,Min 80' [Amarilla - Time wasting] | Min 67' [Amarilla - Foul]
