Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Marco Spina,F,Gubbio,20,6.4,0,0,0.02,0,1,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,1,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Mattia Tonetto,D,Guidonia Montecelio 1937,15,6.4,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Lorenzo Podda,M,Gubbio,42,6.5,0,0,0,0,0,0,0,10,0,0,0,11,0,0,1,1,1,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Nicola Bagnolini,G,Gubbio,90,5.6,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,2
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Alessandro Spavone,F,Guidonia Montecelio 1937,74,6.4,0,0,0,0.01,0,0,0,22,1,0,0,34,1,0,0,3,0,3,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Tommaso Ghirardello,F,Gubbio,45,6.6,0,0,0,0,0,0,0,12,0,0,0,21,0,0,0,5,1,1,0,0,1,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Leonardo Baroncelli,D,Gubbio,90,6.1,0,0,0,0,0,0,0,41,0,0,0,53,0,0,0,2,1,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Francesco Zallu,M,Gubbio,57,6,0,0,0,0,0,0,0,22,0,0,0,30,0,0,0,2,1,0,1,0,1,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Edoardo Meconi,D,Gubbio,90,6.4,0,0,0,0.02,0,0,0,30,1,0,0,44,0,0,3,5,2,2,0,0,1,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Manuel Cesari,M,Gubbio,31,6.4,0,0,0,0,0,0,0,12,0,0,0,15,0,0,0,1,0,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Oumar Barry,D,Gubbio,67,6.4,0,0,0,0,0,0,0,25,0,0,0,30,0,1,1,5,0,0,0,0,1,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Amoako Minta,F,Gubbio,90,6.4,0,0,0.05,0,1,0,0,17,0,0,0,24,0,0,0,4,1,2,0,0,2,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Alessandro Cardascio,M,Gubbio,77,6.3,0,0,0.13,0,1,1,0,8,0,0,0,15,1,0,0,3,2,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Denis Tonucci,D,Vis Pesaro,74,6.8,0,0,0.02,0,1,0,0,26,0,0,0,40,0,1,0,3,1,0,1,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Francesco Nicastro,F,Vis Pesaro,90,6,0,0,0.11,0,1,0,0,20,0,0,0,27,0,0,0,4,2,2,0,0,2,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Gaetano Letizia,D,Pescara,68,7.1,0,0,0,0.12,2,1,0,25,2,0,0,30,0,0,1,2,1,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Filippo Guccione,M,Pescara,90,7.1,0,0,0.11,0.06,4,1,0,57,1,0,0,77,1,0,3,5,4,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Luca Valzania,M,Pescara,90,7,0,0,0,0.08,0,0,0,34,2,0,0,48,0,0,1,8,1,5,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Sulayman Jallow,F,Vis Pesaro,8,6.4,0,0,0,0,0,0,0,5,0,0,0,10,1,0,0,1,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Manuel Di Paola,M,Vis Pesaro,90,7.2,0,0,0.06,0.33,2,0,0,58,2,0,0,77,2,0,0,7,2,2,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Michael Zeppieri,F,Pescara,8,6.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Alessandro Guarnone,G,Vis Pesaro,90,6.7,0,0,0,0,0,0,0,30,0,0,0,36,0,0,0,0,0,0,0,0,0,6
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Davide Merola,F,Pescara,74,7,1,0,1.11,0,6,3,0,21,0,0,1,43,0,0,1,2,1,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Filippo Pellacani,D,Pescara,90,7.4,0,0,0,0,0,0,0,34,0,0,0,44,0,0,1,6,1,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Riccardo Capellini,D,Pescara,90,7.4,0,0,0,0,0,0,0,49,0,0,0,59,0,0,0,2,1,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Michele D'Ausilio,M,Pescara,90,9,1,0,0.44,0.85,2,2,0,35,3,1,0,54,1,0,0,3,1,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Francesco Donati,D,Pescara,90,6.8,0,0,0,0,0,0,0,50,0,0,0,61,0,0,1,2,1,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Christian Nina,M,Vis Pesaro,38,6.6,0,0,0,0,0,0,0,24,0,0,0,27,0,0,0,0,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Romeo Giovannini,M,Vis Pesaro,90,6.3,0,0,0.34,0.07,2,0,0,27,1,0,0,38,2,0,0,4,5,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Pescara vs Vis Pesaro,22/08/2026,Lorenzo Meazzi,F,Pescara,90,7.9,0,1,0.56,0.52,6,1,0,44,4,0,0,73,7,0,0,12,1,2,0,0,0,0
