ID_Jugador,Jugador,Foto_URL,Pais,Fecha_Nacimiento,Posicion,Altura,Pie,Valor_Mercado
30031,Miguel Vítor,https://api.sofascore.com/api/v1/player/30031/image,Israel,,D,184,,
30143,Volkan Babacan,https://api.sofascore.com/api/v1/player/30143/image,Türkiye,10/08/1988,G,192,Right,52000
30441,Aron Gunnarsson,https://api.sofascore.com/api/v1/player/30441/image,Iceland,,M,181,,
31175,Hernán Barcos,https://api.sofascore.com/api/v1/player/31175/image,Argentina,10/04/1984,F,189,Right,47000
31406,Andrés Fernández,https://api.sofascore.com/api/v1/player/31406/image,Spain,,G,190,,
31417,Willian,https://api.sofascore.com/api/v1/player/31417/image,Brazil,08/08/1988,M,175,Right,385000
31611,Carlos Zambrano,https://api.sofascore.com/api/v1/player/31611/image,Peru,09/07/1989,D,185,Right,95000
31761,Ched Evans,https://api.sofascore.com/api/v1/player/31761/image,Wales,,F,183,,
31828,Raúl Fernández,https://api.sofascore.com/api/v1/player/31828/image,Spain,,G,196,,
31867,Jason Steele,https://api.sofascore.com/api/v1/player/31867/image,England,17/08/1990,G,188,Right,480000
31967,Javier García,https://api.sofascore.com/api/v1/player/31967/image,Argentina,28/01/1987,G,180,Right,24000
31981,Éver Banega,https://api.sofascore.com/api/v1/player/31981/image,Argentina,28/06/1988,M,174,Right,380000
32048,Cristhian Stuani,https://api.sofascore.com/api/v1/player/32048/image,Uruguay,11/10/1986,F,184,Right,650000
32497,Jeremy Bokila,https://api.sofascore.com/api/v1/player/32497/image,DR Congo,,F,188,,
32934,Marco Rubén,https://api.sofascore.com/api/v1/player/32934/image,Argentina,,F,179,,
32985,Panagiotis Tachtsidis,https://api.sofascore.com/api/v1/player/32985/image,Greece,,M,193,,
33102,Albert Adomah,https://api.sofascore.com/api/v1/player/33102/image,Ghana,,F,185,,
33132,Rafael,https://api.sofascore.com/api/v1/player/33132/image,Brazil,22/06/1989,G,192,Left,370000
33146,Luis Cardozo,https://api.sofascore.com/api/v1/player/33146/image,Paraguay,,D,180,,
33202,Carlos Quintana,https://api.sofascore.com/api/v1/player/33202/image,Argentina,10/02/1988,D,191,Left,73000
33238,Germán Cano,https://api.sofascore.com/api/v1/player/33238/image,Argentina,01/01/1988,F,176,Right,515000
33268,Leonardo Sigali,https://api.sofascore.com/api/v1/player/33268/image,Argentina,,D,179,,
33308,Facundo Martinez,https://api.sofascore.com/api/v1/player/33308/image,Argentina,,M,179,,
