Equipo,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
"Local - AC Milan vs Udinese","ALL","13/08/2022","1","4","59%","2.33","3","14","2","5","16","502","23","13","1","0","5","0","7","2","9","5","3","0","1","0","5","0","429","21","56","0","35/66 (53%)","4/21 (19%)","54%","9","46/77 (60%)","5/17 (29%)","10/14 (71%)","52%","23","8","0","5","0","2","-1.61","0","0","0","7"
"Visita - AC Milan vs Udinese","ALL","13/08/2022","1","2","41%","0.49","0","9","1","1","13","343","13","15","4","0","4","0","4","1","5","4","0","0","0","0","1","1","278","14","35","0","30/44 (68%)","4/11 (36%)","46%","10","31/77 (40%)","12/17 (71%)","3/16 (19%)","77%","13","11","0","19","0","1","-0.99","0","0","0","11"
"Local - AC Milan vs Udinese","1ST","13/08/2022","1","2","62%","0.98","1","5","0","2","0","241","11","5","1","0","3","0","2","0","3","2","1","0","1","0","2","0","203","12","29","0","15/30 (50%)","3/12 (25%)","52%","7","20/35 (57%)","3/9 (33%)","4/6 (67%)","55%","11","5","0","3","0","0","0","0","0","0","1"
"Visita - AC Milan vs Udinese","1ST","13/08/2022","1","2","38%","0.29","0","4","1","1","0","150","9","6","2","0","2","0","1","1","4","0","0","0","0","0","0","1","111","6","13","0","11/19 (58%)","2/4 (50%)","48%","4","15/35 (43%)","6/9 (67%)","0/7 (0%)","78%","9","7","0","11","0","1","0","0","0","0","6"
"Local - AC Milan vs Udinese","2ND","13/08/2022","1","2","57%","1.34","2","9","2","3","0","261","12","8","0","0","2","0","5","2","6","3","2","0","0","0","3","0","226","9","27","0","20/36 (56%)","1/9 (11%)","56%","2","26/42 (62%)","2/8 (25%)","6/8 (75%)","50%","12","3","0","2","0","2","0","0","0","0","6"
"Visita - AC Milan vs Udinese","2ND","13/08/2022","1","0","43%","0.20","0","5","0","0","0","193","4","9","2","0","2","0","3","0","1","4","0","0","0","0","1","0","167","8","22","0","19/25 (76%)","2/7 (29%)","44%","6","16/42 (38%)","6/8 (75%)","3/9 (33%)","75%","4","4","0","8","0","0","0","0","0","0","5"
"Local - Sampdoria vs Atalanta","ALL","13/08/2022","1","0","55%","0.97","0","11","1","3","13","455","18","21","4","0","1","2","5","5","6","5","0","0","0","0","3","1","363","23","71","0","28/53 (53%)","4/19 (21%)","57%","9","45/83 (54%)","16/24 (67%)","6/16 (38%)","72%","18","11","0","6","0","1","-0.32","0","0","0","7"
"Visita - Sampdoria vs Atalanta","ALL","13/08/2022","1","2","45%","2.17","3","9","1","2","21","371","19","13","6","0","3","1","3","3","6","3","2","1","0","0","2","2","285","18","35","0","28/69 (41%)","2/9 (22%)","43%","11","38/83 (46%)","8/24 (33%)","6/13 (46%)","53%","19","11","0","19","0","1","0.34","0","0","0","10"
"Local - Sampdoria vs Atalanta","1ST","13/08/2022","1","0","50%","0.33","0","5","1","0","0","240","10","10","1","0","1","0","1","3","2","3","0","0","0","0","1","1","188","5","34","0","10/24 (42%)","0/2 (0%)","69%","2","25/39 (64%)","10/12 (83%)","5/10 (50%)","60%","10","7","0","1","0","1","0","0","0","0","4"
"Visita - Sampdoria vs Atalanta","1ST","13/08/2022","1","1","50%","1.70","2","5","1","0","0","236","7","4","2","0","2","1","2","1","4","1","1","1","0","0","0","0","190","9","20","0","20/44 (45%)","0/4 (0%)","31%","6","14/39 (36%)","2/12 (17%)","3/7 (43%)","71%","7","4","0","5","0","1","0","0","0","0","3"
"Local - Sampdoria vs Atalanta","2ND","13/08/2022","1","0","62%","0.64","0","6","0","3","0","215","8","11","3","0","0","2","4","2","4","2","0","0","0","0","2","0","175","18","37","0","18/29 (62%)","4/17 (24%)","46%","7","20/44 (45%)","6/12 (50%)","1/6 (17%)","88%","8","4","0","5","0","0","0","0","0","0","3"
"Visita - Sampdoria vs Atalanta","2ND","13/08/2022","1","1","38%","0.47","1","4","0","2","0","135","12","9","4","0","1","0","1","2","2","2","1","0","0","0","2","2","95","9","15","0","8/25 (32%)","2/5 (40%)","54%","5","24/44 (55%)","6/12 (50%)","3/6 (50%)","42%","12","7","0","14","0","0","0","0","0","0","7"
"Local - Lecce vs Inter","ALL","13/08/2022","1","1","30%","0.69","1","10","7","6","21","254","9","18","4","0","4","0","4","2","5","5","1","0","0","14","2","2","184","11","42","40/71 (56%)","20/54 (37%)","3/13 (23%)","47%","8","32/70 (46%)","14/28 (50%)","5/8 (63%)","78%","9","13","0","41","0","7","-0.25","2","1","3","7"
"Visita - Lecce vs Inter","ALL","13/08/2022","1","2","70%","2.09","3","19","3","8","19","603","11","19","2","0","9","1","5","5","11","8","2","1","0","40","3","3","523","22","67","117/162 (72%)","24/46 (52%)","8/32 (25%)","53%","4","38/70 (54%)","14/28 (50%)","8/13 (62%)","55%","11","8","0","8","0","3","0.35","2","1","0","6"
"Local - Lecce vs Inter","1ST","13/08/2022","1","0","30%","0.26","0","5","2","3","0","138","6","11","1","0","1","0","2","2","3","2","0","0","0","0","1","0","103","9","25","0","12/28 (43%)","2/7 (29%)","52%","4","20/38 (53%)","2/4 (50%)","3/4 (75%)","67%","6","7","0","9","0","2","0","0","0","0","2"
"Visita - Lecce vs Inter","1ST","13/08/2022","1","1","70%","0.73","1","5","1","2","0","345","5","8","0","0","3","0","1","1","2","3","1","0","0","0","0","1","304","9","28","0","15/23 (65%)","4/11 (36%)","48%","3","18/38 (47%)","2/4 (50%)","5/8 (63%)","40%","5","4","0","2","0","1","0","0","0","0","3"
"Local - Lecce vs Inter","2ND","13/08/2022","1","1","31%","0.43","1","5","5","3","0","116","3","7","3","0","3","0","2","0","2","3","1","0","0","0","1","2","81","2","17","0","8/26 (31%)","1/6 (17%)","43%","4","12/32 (38%)","12/24 (50%)","2/4 (50%)","100%","3","6","0","32","0","5","0","0","0","0","5"
"Visita - Lecce vs Inter","2ND","13/08/2022","1","1","69%","1.36","2","14","2","6","0","258","6","11","2","0","6","1","4","4","9","5","1","1","0","0","3","2","219","13","39","0","9/23 (39%)","4/21 (19%)","57%","1","20/32 (63%)","12/24 (50%)","3/5 (60%)","67%","6","4","0","6","0","2","0","0","0","0","3"
"Local - Monza vs Torino","ALL","13/08/2022","1","1","54%","1.37","1","15","4","2","6","447","13","17","1","0","4","0","7","4","5","10","1","0","0","0","3","1","365","16","45","0","29/59 (49%)","5/14 (36%)","58%","11","38/65 (58%)","8/15 (53%)","8/11 (73%)","62%","13","11","0","14","0","4","1.97","0","0","0","4"
"Visita - Monza vs Torino","ALL","13/08/2022","1","2","46%","2.16","6","13","3","7","17","377","14","6","2","0","6","0","3","4","12","1","2","4","1","0","0","5","307","14","44","0","17/43 (40%)","4/16 (25%)","42%","5","27/65 (42%)","7/15 (47%)","7/15 (47%)","36%","14","5","0","11","0","3","-0.05","0","0","0","10"
