Equipo,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
"Local - Empoli vs Hellas Verona","ALL","19/08/2023","1","0","47%","0.70","1","10","3","2","17","314","12","18","2","0","4","1","5","1","4","6","0","1","0","0","3","2","200","37","49","0","17/68 (25%)","0/5 (0%)","39%","7","34/73 (47%)","11/42 (26%)","4/17 (24%)","50%","12","5","60","11","0","3","-0.57","0","0","0","7"
"Visita - Empoli vs Hellas Verona","ALL","19/08/2023","1","1","53%","0.51","1","10","4","4","18","351","20","17","2","0","4","0","5","1","6","4","0","1","1","0","2","3","249","24","55","0","40/72 (56%)","3/14 (21%)","61%","5","39/73 (53%)","31/42 (74%)","4/11 (36%)","60%","20","11","66","20","0","4","0.33","0","0","0","8"
"Local - Empoli vs Hellas Verona","1ST","19/08/2023","1","0","50%","0.53","1","6","2","0","0","177","6","10","0","0","2","1","4","0","3","3","0","1","0","0","1","2","114","23","24","0","9/36 (25%)","0/1 (0%)","47%","3","17/32 (53%)","7/19 (37%)","1/5 (20%)","17%","6","4","30","6","0","2","0","0","0","0","2"
"Visita - Empoli vs Hellas Verona","1ST","19/08/2023","1","0","50%","0.17","0","3","2","2","0","175","7","6","1","0","2","0","1","0","1","2","0","0","1","0","0","1","119","14","30","0","21/40 (53%)","1/6 (17%)","53%","4","15/32 (47%)","12/19 (63%)","2/4 (50%)","57%","7","6","35","13","0","2","0","0","0","0","4"
"Local - Empoli vs Hellas Verona","2ND","19/08/2023","1","0","44%","0.17","0","4","1","2","0","137","6","8","2","0","2","0","1","1","1","3","0","0","0","0","2","0","86","14","25","0","8/32 (25%)","0/4 (0%)","33%","4","17/41 (41%)","4/23 (17%)","3/12 (25%)","83%","6","1","30","5","0","1","0","0","0","0","5"
"Visita - Empoli vs Hellas Verona","2ND","19/08/2023","1","1","56%","0.34","1","7","2","2","0","176","13","11","1","0","2","0","4","1","5","2","0","1","0","0","2","2","130","10","25","0","19/32 (59%)","2/8 (25%)","67%","1","24/41 (59%)","19/23 (83%)","2/7 (29%)","62%","13","5","31","7","0","2","0","0","0","0","4"
"Local - Frosinone vs SSC Napoli","ALL","19/08/2023","1","1","48%","0.89","1","4","5","4","14","440","6","17","3","0","1","1","2","1","3","1","1","0","0","0","3","3","386","15","28","0","15/40 (38%)","2/7 (29%)","41%","8","28/66 (42%)","4/13 (31%)","5/17 (29%)","100%","6","2","45","17","0","5","-0.84","0","0","0","7"
"Visita - Frosinone vs SSC Napoli","ALL","19/08/2023","1","3","52%","1.50","1","19","0","6","17","473","20","13","3","0","8","0","4","7","13","6","1","0","1","0","2","3","420","11","49","0","24/43 (56%)","4/18 (22%)","59%","3","38/66 (58%)","9/13 (69%)","5/8 (63%)","55%","20","3","55","7","0","0","-0.02","0","0","0","3"
"Local - Frosinone vs SSC Napoli","1ST","19/08/2023","1","1","50%","0.86","1","3","1","3","0","219","4","9","2","0","1","0","1","1","3","0","1","0","0","0","2","0","189","4","19","0","10/27 (37%)","2/5 (40%)","44%","3","15/33 (45%)","4/10 (40%)","2/9 (22%)","100%","4","0","22","9","0","1","0","0","0","0","3"
"Visita - Frosinone vs SSC Napoli","1ST","19/08/2023","1","2","50%","0.57","0","8","0","3","0","221","10","5","3","0","3","0","1","4","6","2","0","0","0","0","0","2","193","6","28","0","13/23 (57%)","2/7 (29%)","56%","2","18/33 (55%)","6/10 (60%)","3/5 (60%)","50%","10","1","27","4","0","0","0","0","0","0","3"
"Local - Frosinone vs SSC Napoli","2ND","19/08/2023","1","0","47%","0.03","0","1","4","1","0","221","2","8","1","0","0","1","1","0","0","1","0","0","0","0","1","3","197","11","9","0","5/13 (38%)","0/2 (0%)","36%","5","13/33 (39%)","0/3 (0%)","3/8 (38%)","100%","2","2","23","8","0","4","0","0","0","0","4"
"Visita - Frosinone vs SSC Napoli","2ND","19/08/2023","1","1","53%","0.94","1","11","0","3","0","252","10","8","0","0","5","0","3","3","7","4","1","0","1","0","2","1","227","5","21","0","11/20 (55%)","2/11 (18%)","64%","1","20/33 (61%)","3/3 (100%)","2/3 (67%)","60%","10","2","28","3","0","0","0","0","0","0","0"
"Local - Genoa vs Fiorentina","ALL","19/08/2023","1","1","32%","0.21","2","4","1","3","14","291","14","10","2","0","2","0","2","0","4","0","1","1","0","0","0","2","218","20","38","0","19/38 (50%)","5/16 (31%)","49%","6","32/64 (50%)","11/23 (48%)","9/14 (64%)","64%","14","9","43","13","0","1","-2.21","0","0","0","5"
"Visita - Genoa vs Fiorentina","ALL","19/08/2023","1","4","68%","0.99","2","9","1","4","13","656","11","11","3","0","5","1","2","2","5","4","2","0","1","0","1","1","575","22","56","0","55/78 (71%)","1/12 (8%)","51%","8","32/64 (50%)","12/23 (52%)","10/16 (63%)","73%","11","7","55","14","0","1","-0.74","0","0","0","4"
"Local - Genoa vs Fiorentina","1ST","19/08/2023","1","0","31%","0.00","0","0","1","1","0","143","7","6","1","0","0","0","0","0","0","0","0","0","0","0","0","2","105","10","19","0","5/18 (28%)","2/7 (29%)","53%","3","17/33 (52%)","6/10 (60%)","4/7 (57%)","57%","7","6","23","4","0","1","0","0","0","0","2"
"Visita - Genoa vs Fiorentina","1ST","19/08/2023","1","3","69%","0.73","1","6","0","1","0","329","6","4","2","0","4","1","1","1","3","3","1","0","0","0","1","0","282","17","30","0","30/44 (68%)","1/3 (33%)","47%","3","16/33 (48%)","4/10 (40%)","6/10 (60%)","67%","6","1","29","5","0","0","0","0","0","0","1"
"Local - Genoa vs Fiorentina","2ND","19/08/2023","1","1","32%","0.21","2","4","0","2","0","148","7","4","1","0","2","0","2","0","4","0","1","1","0","0","0","0","113","10","19","0","14/20 (70%)","3/9 (33%)","45%","3","15/31 (48%)","5/13 (38%)","5/7 (71%)","71%","7","3","20","9","0","0","0","0","0","0","3"
"Visita - Genoa vs Fiorentina","2ND","19/08/2023","1","1","68%","0.27","1","3","1","3","0","327","5","7","1","0","1","0","1","1","2","1","1","0","1","0","0","1","293","5","26","0","25/34 (74%)","0/9 (0%)","55%","5","16/31 (52%)","8/13 (62%)","4/6 (67%)","80%","5","6","26","9","0","1","0","0","0","0","3"
"Local - Inter vs Monza","ALL","19/08/2023","1","2","48%","2.69","2","22","2","8","8","474","17","13","1","0","3","0","12","7","14","8","2","0","1","36","3","1","426","9","53","133/162 (82%)","37/51 (73%)","11/21 (52%)","58%","5","36/63 (57%)","9/15 (60%)","6/14 (43%)","76%","17","9","44","12","0","2","0.22","0","1","0","8"
"Visita - Inter vs Monza","ALL","19/08/2023","1","0","52%","0.78","2","12","1","3","13","528","13","8","1","0","2","0","6","4","7","5","0","2","0","26","0","1","477","15","37","103/123 (84%)","28/40 (70%)","7/14 (50%)","42%","7","27/63 (43%)","6/15 (40%)","6/16 (38%)","77%","13","13","36","10","0","1","-0.65","0","0","0","17"
"Local - Inter vs Monza","1ST","19/08/2023","1","1","46%","1.25","1","12","1","4","0","239","12","4","1","0","2","0","7","3","9","3","1","0","0","0","1","0","212","6","25","0","22/31 (71%)","6/13 (46%)","63%","1","21/32 (66%)","5/9 (56%)","5/9 (56%)","75%","12","4","23","5","0","1","0","0","0","0","4"
"Visita - Inter vs Monza","1ST","19/08/2023","1","0","54%","0.37","0","7","1","2","0","292","5","3","1","0","1","0","3","3","3","4","0","0","0","0","0","0","272","7","21","0","15/19 (79%)","2/6 (33%)","37%","5","11/32 (34%)","4/9 (44%)","3/10 (30%)","80%","5","8","16","8","0","1","0","0","0","0","9"
"Local - Inter vs Monza","2ND","19/08/2023","1","1","50%","1.44","1","10","1","4","0","235","5","9","0","0","1","0","5","4","5","5","1","0","1","0","2","1","214","3","28","0","15/20 (75%)","5/8 (63%)","51%","4","15/31 (48%)","4/6 (67%)","1/5 (20%)","80%","5","5","21","7","0","1","0","0","0","0","4"
"Visita - Inter vs Monza","2ND","19/08/2023","1","0","50%","0.41","2","5","0","1","0","236","8","5","0","0","1","0","3","1","4","1","0","2","0","0","0","1","205","8","16","0","13/21 (62%)","5/8 (63%)","49%","2","16/31 (52%)","2/6 (33%)","3/6 (50%)","75%","8","5","20","2","0","0","0","0","0","0","8"
"Local - AS Roma vs Salernitana","ALL","20/08/2023","1","2","60%","1.90","3","13","0","9","12","475","15","9","0","0","3","1","7","3","9","4","2","1","0","0","4","1","389","28","57","0","23/53 (43%)","10/30 (33%)","61%","2","32/54 (59%)","22/35 (63%)","8/15 (53%)","87%","15","9","61","5","0","0","-1.24","0","0","0","3"
"Visita - AS Roma vs Salernitana","ALL","20/08/2023","1","2","40%","0.14","1","3","1","1","9","332","9","11","4","0","2","0","1","0","2","1","1","0","0","0","0","1","241","17","42","0","12/52 (23%)","0/3 (0%)","39%","8","22/54 (41%)","13/35 (37%)","3/10 (30%)","67%","9","10","50","18","0","1","-1.20","0","0","0","13"
"Local - AS Roma vs Salernitana","1ST","20/08/2023","1","1","56%","1.22","2","7","0","4","0","232","7","2","0","0","2","0","3","2","5","2","1","1","0","0","2","1","191","10","21","0","19/33 (58%)","3/8 (38%)","60%","2","13/27 (48%)","14/18 (78%)","4/8 (50%)","86%","7","3","33","1","0","0","0","0","0","0","1"
"Visita - AS Roma vs Salernitana","1ST","20/08/2023","1","1","44%","0.11","1","2","1","0","0","190","6","7","1","0","1","0","1","0","1","1","1","0","0","0","0","1","150","8","17","0","6/24 (25%)","0/0 (0%)","40%","3","14/27 (52%)","4/18 (22%)","1/5 (20%)","67%","6","6","23","3","0","1","0","0","0","0","8"
"Local - AS Roma vs Salernitana","2ND","20/08/2023","1","1","64%","0.68","1","6","0","5","0","243","8","7","0","0","1","1","4","1","4","2","1","0","0","0","2","0","198","18","36","0","4/20 (20%)","7/22 (32%)","61%","0","19/27 (70%)","8/17 (47%)","4/7 (57%)","88%","8","6","28","4","0","0","0","0","0","0","2"
"Visita - AS Roma vs Salernitana","2ND","20/08/2023","1","1","36%","0.03","0","1","0","1","0","142","3","4","3","0","1","0","0","0","1","0","0","0","0","0","0","0","91","9","25","0","6/28 (21%)","0/3 (0%)","39%","5","8/27 (30%)","9/17 (53%)","2/5 (40%)","67%","3","4","27","15","0","0","0","0","0","0","5"
"Local - Sassuolo vs Atalanta","ALL","20/08/2023","1","0","50%","0.44","0","11","2","7","9","491","10","13","0","0","3","1","4","4","4","7","0","0","0","0","2","0","427","12","54","0","18/41 (44%)","3/14 (21%)","52%","5","37/72 (51%)","9/17 (53%)","14/22 (64%)","60%","10","12","46","17","0","2","-1.31","0","0","0","16"
"Visita - Sassuolo vs Atalanta","ALL","20/08/2023","1","2","50%","1.32","3","16","3","7","13","480","13","9","0","0","6","1","8","2","10","6","1","2","0","0","1","2","413","17","44","0","29/56 (52%)","8/29 (28%)","48%","8","35/72 (49%)","8/17 (47%)","13/15 (87%)","54%","13","9","57","9","0","3","0.70","0","0","0","2"
"Local - Sassuolo vs Atalanta","1ST","20/08/2023","1","0","53%","0.13","0","4","2","5","0","276","2","6","0","0","2","0","0","2","1","3","0","0","0","0","2","0","246","7","28","0","4/14 (29%)","2/9 (22%)","53%","2","14/29 (48%)","4/5 (80%)","6/7 (86%)","100%","2","5","24","9","0","2","0","0","0","0","6"
"Visita - Sassuolo vs Atalanta","1ST","20/08/2023","1","0","47%","0.68","1","8","2","5","0","236","3","7","0","0","4","0","2","2","6","2","0","1","0","0","1","1","203","9","17","0","11/22 (50%)","4/15 (27%)","47%","2","15/29 (52%)","1/5 (20%)","5/5 (100%)","67%","3","4","26","5","0","2","0","0","0","0","0"
"Local - Sassuolo vs Atalanta","2ND","20/08/2023","1","0","46%","0.31","0","7","0","2","0","215","8","7","0","0","1","1","4","2","3","4","0","0","0","0","0","0","181","5","26","0","14/27 (52%)","1/5 (20%)","51%","3","23/43 (53%)","5/12 (42%)","8/15 (53%)","50%","8","7","22","8","0","0","0","0","0","0","10"
"Visita - Sassuolo vs Atalanta","2ND","20/08/2023","1","2","54%","0.63","2","8","1","2","0","244","10","2","0","0","2","1","6","0","4","4","1","1","0","0","0","1","210","8","27","0","18/34 (53%)","4/14 (29%)","49%","6","20/43 (47%)","7/12 (58%)","8/10 (80%)","50%","10","5","31","4","0","1","0","0","0","0","2"
"Local - Lecce vs Lazio","ALL","20/08/2023","1","2","48%","1.47","2","23","3","5","12","458","8","16","3","0","7","0","8","8","13","10","0","2","0","0","3","2","392","19","43","0","21/40 (53%)","4/16 (25%)","52%","8","40/78 (51%)","9/17 (53%)","17/30 (57%)","38%","8","8","58","12","0","3","-0.13","0","0","0","9"
"Visita - Lecce vs Lazio","ALL","20/08/2023","1","1","52%","1.61","4","10","5","2","16","516","21","12","2","0","4","1","3","3","6","4","1","3","3","0","1","1","441","12","46","0","16/35 (46%)","2/8 (25%)","48%","5","38/78 (49%)","8/17 (47%)","5/8 (63%)","57%","21","10","55","20","0","5","-0.70","0","0","0","9"
"Local - Lecce vs Lazio","1ST","20/08/2023","1","0","41%","0.17","0","5","1","4","0","227","3","6","0","0","1","0","3","1","3","2","0","0","0","0","1","0","189","11","18","0","9/18 (50%)","1/7 (14%)","49%","4","19/38 (50%)","2/5 (40%)","10/19 (53%)","33%","3","3","26","6","0","1","0","0","0","0","3"
"Visita - Lecce vs Lazio","1ST","20/08/2023","1","1","59%","0.73","2","5","1","0","0","338","13","6","0","0","2","0","1","2","3","2","1","1","2","0","0","0","302","3","25","0","9/17 (53%)","0/2 (0%)","51%","2","19/38 (50%)","3/5 (60%)","0/1 (0%)","54%","13","7","26","8","0","1","0","0","0","0","3"
"Local - Lecce vs Lazio","2ND","20/08/2023","1","2","56%","1.30","2","18","2","1","0","231","5","10","3","0","6","0","5","7","10","8","0","2","0","0","2","2","203","8","25","0","12/22 (55%)","3/9 (33%)","54%","4","21/40 (53%)","7/12 (58%)","7/11 (64%)","40%","5","5","32","6","0","2","0","0","0","0","6"
"Visita - Lecce vs Lazio","2ND","20/08/2023","1","0","44%","0.88","2","5","4","2","0","178","8","6","2","0","2","1","2","1","3","2","0","2","1","0","1","1","139","9","21","0","7/18 (39%)","2/6 (33%)","46%","3","19/40 (48%)","5/12 (42%)","5/7 (71%)","63%","8","3","29","12","0","4","0","0","0","0","6"
"Local - Udinese vs Juventus","ALL","20/08/2023","1","0","48%","1.00","2","18","1","7","12","429","11","10","1","0","5","0","6","7","6","12","0","2","1","0","2","3","378","17","57","0","22/38 (58%)","6/24 (25%)","42%","8","28/65 (43%)","7/18 (39%)","7/20 (35%)","55%","11","7","56","10","0","1","-0.67","0","0","0","6"
"Visita - Udinese vs Juventus","ALL","20/08/2023","1","3","52%","1.85","2","9","5","3","10","476","21","9","3","0","4","0","3","2","6","3","2","0","0","0","2","4","392","9","40","0","17/45 (38%)","5/8 (63%)","58%","6","37/65 (57%)","11/18 (61%)","9/14 (64%)","67%","21","5","49","19","0","5","1.48","0","0","0","14"
