Equipo,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
"Local - Hellas Verona vs Sassuolo","ALL","21/08/2021","1","2","39%","0","5","15","4","7","11","312","12","12","3","1","4","1","8","3","11","4","1","4","0","0","6","0","257","14","41","0","30/49 (61%)","9/26 (35%)","51%","5","31/61 (51%)","9/18 (50%)","7/9 (78%)","75%","12","7","0","8","0","4","0","0","0","0","6"
"Visita - Hellas Verona vs Sassuolo","ALL","21/08/2021","1","3","61%","0","2","18","2","4","12","525","7","11","2","0","7","0","6","5","9","9","2","0","2","0","1","1","465","6","53","0","27/45 (60%)","1/5 (20%)","49%","7","30/61 (49%)","9/18 (50%)","12/17 (71%)","43%","7","5","0","15","0","2","0","0","0","0","12"
"Local - Hellas Verona vs Sassuolo","1ST","21/08/2021","1","0","52%","0","3","10","2","4","0","170","8","5","2","1","1","1","7","2","6","4","0","3","0","0","4","0","140","12","22","0","16/25 (64%)","5/15 (33%)","47%","4","15/33 (45%)","3/5 (60%)","2/2 (100%)","75%","8","1","0","2","0","2","0","0","0","0","3"
"Visita - Hellas Verona vs Sassuolo","1ST","21/08/2021","1","1","48%","0","1","7","1","2","0","168","4","7","1","0","3","0","2","2","4","3","1","0","0","0","0","1","140","3","14","0","15/25 (60%)","1/2 (50%)","53%","5","18/33 (55%)","2/5 (40%)","7/10 (70%)","25%","4","4","0","8","0","1","0","0","0","0","8"
"Local - Hellas Verona vs Sassuolo","2ND","21/08/2021","1","2","30%","0","2","5","2","3","0","142","4","7","1","0","3","0","1","1","5","0","1","1","0","0","2","0","117","2","19","0","14/24 (58%)","4/11 (36%)","54%","1","16/28 (57%)","6/13 (46%)","5/7 (71%)","75%","4","6","0","6","0","2","0","0","0","0","3"
"Visita - Hellas Verona vs Sassuolo","2ND","21/08/2021","1","2","70%","0","1","11","1","2","0","357","3","4","1","0","4","0","4","3","5","6","1","0","2","0","1","0","325","3","39","0","12/20 (60%)","0/3 (0%)","46%","2","12/28 (43%)","7/13 (54%)","5/7 (71%)","67%","3","1","0","7","0","1","0","0","0","0","4"
"Local - Inter vs Genoa","ALL","21/08/2021","1","4","60%","0","4","16","4","8","18","592","18","6","1","0","8","1","5","3","12","4","3","1","1","35","1","2","539","15","72","126/162 (78%)","39/45 (87%)","8/25 (32%)","45%","8","32/73 (44%)","8/16 (50%)","8/13 (62%)","56%","18","5","0","13","0","4","0","0","0","0","7"
"Visita - Inter vs Genoa","ALL","21/08/2021","1","0","40%","0","1","10","4","2","7","399","13","18","2","0","4","0","4","2","5","5","0","1","2","19","3","2","348","12","29","49/63 (78%)","20/39 (51%)","1/11 (9%)","55%","11","41/73 (56%)","8/16 (50%)","10/17 (59%)","77%","13","15","0","22","0","4","0","1","1","0","9"
"Local - Inter vs Genoa","1ST","21/08/2021","1","2","65%","0","1","9","0","6","0","303","10","4","0","0","3","1","4","2","6","3","1","0","1","0","1","1","277","10","38","0","19/22 (86%)","6/20 (30%)","51%","2","18/34 (53%)","5/11 (45%)","4/5 (80%)","70%","10","1","0","3","0","0","0","0","0","0","4"
"Visita - Inter vs Genoa","1ST","21/08/2021","1","0","35%","0","1","3","1","0","0","170","3","8","1","0","0","0","2","1","3","0","0","1","1","0","1","1","149","5","14","0","10/20 (50%)","0/1 (0%)","49%","8","16/34 (47%)","6/11 (55%)","5/7 (71%)","100%","3","9","0","15","0","1","0","0","0","0","5"
"Local - Inter vs Genoa","2ND","21/08/2021","1","2","55%","0","3","7","4","2","0","289","8","2","1","0","5","0","1","1","6","1","2","1","0","0","0","1","262","5","34","0","20/23 (87%)","2/5 (40%)","39%","6","14/39 (36%)","3/5 (60%)","4/8 (50%)","38%","8","4","0","10","0","4","0","0","0","0","3"
"Visita - Inter vs Genoa","2ND","21/08/2021","1","0","45%","0","0","7","3","2","0","229","10","10","1","0","4","0","2","1","2","5","0","0","1","0","2","1","199","7","15","0","10/19 (53%)","1/10 (10%)","61%","3","25/39 (64%)","2/5 (40%)","5/10 (50%)","70%","10","6","0","7","0","3","0","0","0","0","4"
"Local - Empoli vs Lazio","ALL","21/08/2021","1","1","45%","0","1","16","1","5","13","451","23","8","2","0","4","2","7","5","11","5","0","1","1","0","0","2","372","28","65","0","29/48 (60%)","4/20 (20%)","44%","15","36/83 (43%)","6/13 (46%)","5/16 (31%)","57%","23","12","0","14","0","1","0","0","0","0","4"
