Equipo,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
"Local - Genoa vs Inter","ALL","17/08/2024","1","2","33%","2.11","4","13","5","1","16","233","10","14","1","0","7","0","5","1","9","4","2","2","1","14","5","0","174","12","31","30/50 (60%)","22/56 (39%)","3/12 (25%)","47%","7","33/59 (56%)","12/37 (32%)","9/13 (69%)","40%","10","12","31","22","1","5","0.89","0","1","0","8"
"Visita - Genoa vs Inter","ALL","17/08/2024","1","2","67%","1.96","3","17","5","4","16","489","11","12","2","0","8","0","6","3","13","4","1","2","3","26","4","6","429","22","55","104/132 (79%)","11/29 (38%)","6/20 (30%)","53%","4","26/59 (44%)","25/37 (68%)","4/10 (40%)","55%","11","3","35","18","1","5","0.71","0","0","1","5"
"Local - Genoa vs Inter","1ST","17/08/2024","1","1","34%","0.80","2","3","3","0","0","153","4","6","0","0","3","0","0","0","3","0","1","1","1","0","1","0","123","4","17","0","13/32 (41%)","1/3 (33%)","45%","5","13/25 (52%)","6/17 (35%)","3/4 (75%)","25%","4","6","17","12","0","3","0","0","0","0","4"
"Visita - Genoa vs Inter","1ST","17/08/2024","1","1","66%","0.88","2","9","2","2","0","290","6","7","1","0","5","0","3","1","8","1","0","2","1","0","2","4","262","7","32","0","6/12 (50%)","3/12 (25%)","55%","1","12/25 (48%)","11/17 (65%)","0/3 (0%)","67%","6","0","22","7","0","2","0","0","0","0","0"
"Local - Genoa vs Inter","2ND","17/08/2024","1","1","30%","1.31","2","10","2","1","0","80","6","8","1","0","4","0","5","1","6","4","1","1","0","0","4","0","51","8","14","0","9/24 (38%)","2/9 (22%)","48%","2","20/34 (59%)","6/20 (30%)","6/9 (67%)","50%","6","6","14","10","0","2","0","0","0","0","4"
"Visita - Genoa vs Inter","2ND","17/08/2024","1","1","70%","1.08","1","8","3","2","0","199","5","5","1","0","3","0","3","2","5","3","1","0","2","0","2","2","167","15","23","0","5/17 (29%)","3/8 (38%)","52%","3","14/34 (41%)","14/20 (70%)","4/7 (57%)","40%","5","3","13","11","0","3","0","0","0","0","5"
"Local - Parma vs Fiorentina","ALL","17/08/2024","1","1","39%","1.82","3","14","6","4","15","265","16","9","3","0","6","1","4","4","12","2","0","3","2","23","2","1","199","14","48","55/93 (59%)","19/47 (40%)","1/11 (9%)","51%","5","30/57 (53%)","9/20 (45%)","6/8 (75%)","44%","16","8","44","28","0","6","0.49","0","0","1","6"
"Visita - Parma vs Fiorentina","ALL","17/08/2024","1","1","61%","0.75","1","15","5","9","9","416","7","11","2","1","7","0","3","5","6","9","0","1","0","19","3","5","353","15","49","70/103 (68%)","21/44 (48%)","2/20 (10%)","49%","9","27/57 (47%)","11/20 (55%)","9/16 (56%)","71%","7","5","52","25","0","5","0.57","0","0","0","7"
"Local - Parma vs Fiorentina","1ST","17/08/2024","1","1","35%","1.56","2","10","5","3","0","112","10","5","1","0","5","1","2","3","9","1","0","2","1","0","1","0","82","4","22","0","6/23 (26%)","1/7 (14%)","57%","2","18/29 (62%)","3/8 (38%)","3/3 (100%)","50%","10","3","21","12","0","5","0","0","0","0","3"
"Visita - Parma vs Fiorentina","1ST","17/08/2024","1","0","65%","0.52","1","8","4","6","0","212","2","6","0","0","5","0","1","2","5","3","0","1","0","0","0","1","183","10","14","0","13/21 (62%)","2/12 (17%)","43%","5","11/29 (38%)","5/8 (63%)","3/8 (38%)","100%","2","3","23","13","0","4","0","0","0","0","4"
"Local - Parma vs Fiorentina","2ND","17/08/2024","1","0","43%","0.26","1","4","1","1","0","153","6","4","2","0","1","0","2","1","3","1","0","1","1","0","1","1","117","10","26","0","13/24 (54%)","0/4 (0%)","45%","3","12/28 (43%)","6/12 (50%)","3/5 (60%)","33%","6","5","23","16","0","1","0","0","0","0","3"
"Visita - Parma vs Fiorentina","2ND","17/08/2024","1","1","57%","0.23","0","7","1","3","0","204","5","5","2","1","2","0","2","3","1","6","0","0","0","0","3","4","170","5","35","0","8/23 (35%)","0/8 (0%)","55%","4","16/28 (57%)","6/12 (50%)","6/8 (75%)","60%","5","2","29","12","0","1","0","0","0","0","3"
