Equipo,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
"Local - Genoa vs Lecce","ALL","23/08/2025","1","0","59%","0.50","0","5","0","3","16","435","23","13","2","0","2","0","2","1","2","3","0","0","0","6","1","0","327","19","42","40/80 (50%)","16/54 (30%)","0/10 (0%)","55%","8","44/74 (59%)","16/35 (46%)","9/16 (56%)","65%","23","6","49","24","0","0","0.00","0","1","0","8"
"Visita - Genoa vs Lecce","ALL","23/08/2025","1","0","41%","0.37","1","7","2","7","13","294","15","16","3","0","0","0","3","4","5","2","0","1","1","16","2","2","207","28","51","66/104 (63%)","21/55 (38%)","3/21 (14%)","45%","12","30/74 (41%)","19/35 (54%)","2/13 (15%)","53%","15","12","41","18","0","2","0.70","2","1","1","6"
"Local - Genoa vs Lecce","1ST","23/08/2025","1","0","58%","0.39","0","2","0","1","0","239","8","7","0","0","1","0","1","0","2","0","0","0","0","0","0","0","182","8","21","0","8/29 (28%)","0/4 (0%)","63%","5","19/28 (68%)","8/15 (53%)","5/5 (100%)","50%","8","3","26","14","0","0","0","0","0","0","5"
"Visita - Genoa vs Lecce","1ST","23/08/2025","1","0","42%","0.27","1","5","1","5","0","169","5","5","2","0","0","0","1","4","3","2","0","1","1","0","0","0","120","15","32","0","10/32 (31%)","1/11 (9%)","37%","5","9/28 (32%)","7/15 (47%)","1/4 (25%)","60%","5","5","21","8","0","1","0","0","0","0","2"
"Local - Genoa vs Lecce","2ND","23/08/2025","1","0","60%","0.11","0","3","0","2","0","196","15","6","2","0","1","0","1","1","0","3","0","0","0","0","1","0","145","11","21","0","8/25 (32%)","0/6 (0%)","50%","3","25/46 (54%)","8/20 (40%)","4/11 (36%)","73%","15","3","23","10","0","0","0","0","0","0","3"
"Visita - Genoa vs Lecce","2ND","23/08/2025","1","0","40%","0.10","0","2","1","2","0","125","10","11","1","0","0","0","2","0","2","0","0","0","0","0","2","2","87","13","19","0","11/23 (48%)","2/10 (20%)","50%","7","21/46 (46%)","12/20 (60%)","1/9 (11%)","50%","10","7","20","10","0","1","0","0","0","0","4"
"Local - Sassuolo vs SSC Napoli","ALL","23/08/2025","1","0","38%","0.38","0","7","2","1","17","368","16","17","3","1","2","0","4","1","3","4","0","0","0","9","1","0","311","10","44","54/78 (69%)","12/39 (31%)","0/4 (0%)","45%","7","39/76 (51%)","6/23 (26%)","8/15 (53%)","81%","16","12","45","14","2","2","-0.76","0","1","2","5"
"Visita - Sassuolo vs SSC Napoli","ALL","23/08/2025","1","2","62%","1.19","2","13","2","2","17","606","14","17","1","0","4","2","4","5","7","6","1","1","2","12","4","0","545","18","41","84/108 (78%)","17/32 (53%)","2/10 (20%)","55%","7","37/76 (49%)","17/23 (74%)","8/17 (47%)","64%","14","5","45","10","0","2","0.04","1","1","0","7"
"Local - Sassuolo vs SSC Napoli","1ST","23/08/2025","1","0","39%","0.02","0","1","1","0","0","186","12","10","0","0","1","0","0","0","0","1","0","0","0","0","1","0","149","8","25","0","7/23 (30%)","0/1 (0%)","48%","4","22/38 (58%)","3/14 (21%)","2/6 (33%)","83%","12","7","22","9","0","1","0","0","0","0","3"
"Visita - Sassuolo vs SSC Napoli","1ST","23/08/2025","1","1","61%","0.53","1","6","1","2","0","284","8","7","0","0","2","1","3","1","4","2","1","0","1","0","1","0","250","13","19","0","5/11 (45%)","2/8 (25%)","52%","7","16/38 (42%)","11/14 (79%)","2/7 (29%)","63%","8","4","24","8","0","1","0","0","0","0","1"
"Local - Sassuolo vs SSC Napoli","2ND","23/08/2025","1","0","37%","0.36","0","6","1","1","0","182","4","7","3","1","1","0","4","1","3","3","0","0","0","0","0","0","162","2","19","0","5/16 (31%)","0/3 (0%)","43%","3","17/38 (45%)","3/9 (33%)","6/9 (67%)","75%","4","5","23","5","0","1","0","0","0","0","2"
"Visita - Sassuolo vs SSC Napoli","2ND","23/08/2025","1","1","63%","0.66","1","7","1","0","0","322","6","10","1","0","2","1","1","4","3","4","0","1","1","0","3","0","295","5","22","0","12/21 (57%)","0/2 (0%)","57%","0","21/38 (55%)","6/9 (67%)","6/10 (60%)","67%","6","1","21","2","0","1","0","0","0","0","6"
"Local - AC Milan vs Cremonese","ALL","23/08/2025","1","1","64%","1.92","2","24","1","9","10","608","8","14","1","0","6","2","9","9","16","8","1","1","0","49","0","1","551","28","68","149/185 (81%)","25/37 (68%)","9/22 (41%)","54%","4","34/64 (53%)","13/23 (57%)","12/25 (48%)","63%","8","4","42","20","1","1","-0.78","1","1","0","2"
"Visita - AC Milan vs Cremonese","ALL","23/08/2025","1","2","36%","0.21","1","4","4","2","14","340","17","10","4","0","3","0","1","0","4","0","1","0","0","5","1","1","278","14","29","31/59 (53%)","18/50 (36%)","4/16 (25%)","46%","4","30/64 (47%)","10/23 (43%)","5/9 (56%)","76%","17","6","37","37","1","4","0.51","1","2","1","13"
"Local - AC Milan vs Cremonese","1ST","23/08/2025","1","1","69%","0.76","1","9","1","3","0","384","2","3","0","0","1","1","4","4","6","3","1","0","0","0","0","1","353","17","39","0","13/20 (65%)","1/8 (13%)","38%","3","7/20 (35%)","3/6 (50%)","2/8 (25%)","50%","2","3","21","8","0","1","0","0","0","0","2"
"Visita - AC Milan vs Cremonese","1ST","23/08/2025","1","1","31%","0.11","1","3","0","2","0","167","9","2","0","0","2","0","1","0","3","0","1","0","0","0","0","1","138","6","14","0","10/22 (45%)","3/10 (30%)","62%","1","13/20 (65%)","3/6 (50%)","2/3 (67%)","78%","9","4","22","23","0","0","0","0","0","0","4"
"Local - AC Milan vs Cremonese","2ND","23/08/2025","1","0","57%","1.16","1","15","0","6","0","224","6","11","1","0","5","1","5","5","10","5","0","1","0","0","0","0","198","11","29","0","12/17 (71%)","8/14 (57%)","61%","1","27/44 (61%)","10/17 (59%)","10/17 (59%)","67%","6","1","21","12","0","0","0","0","0","0","0"
"Visita - AC Milan vs Cremonese","2ND","23/08/2025","1","1","43%","0.09","0","1","4","0","0","173","8","8","4","0","1","0","0","0","1","0","0","0","0","0","1","0","140","8","15","0","8/28 (29%)","1/6 (17%)","39%","3","17/44 (39%)","7/17 (41%)","3/6 (50%)","75%","8","2","15","14","0","4","0","0","0","0","9"
"Local - AS Roma vs Bologna","ALL","23/08/2025","1","1","51%","1.56","2","14","2","2","15","414","13","13","1","0","4","1","9","1","8","6","1","1","0","24","3","1","338","16","42","66/96 (69%)","26/59 (44%)","3/8 (38%)","47%","7","31/65 (48%)","12/26 (46%)","5/12 (42%)","54%","13","9","59","17","0","2","0.63","0","1","0","7"
"Visita - AS Roma vs Bologna","ALL","23/08/2025","1","0","49%","0.58","0","10","3","4","13","388","14","15","1","0","2","1","7","1","6","4","0","0","0","10","1","1","301","23","43","33/59 (56%)","36/70 (51%)","4/14 (29%)","53%","8","34/65 (52%)","14/26 (54%)","5/10 (50%)","64%","14","5","54","16","2","3","0.19","2","0","0","7"
"Local - AS Roma vs Bologna","1ST","23/08/2025","1","0","54%","0.35","0","7","1","0","0","257","7","5","0","0","2","1","5","0","4","3","0","0","0","0","2","0","214","5","21","0","10/32 (31%)","2/4 (50%)","44%","2","15/31 (48%)","3/10 (30%)","3/6 (50%)","57%","7","3","36","10","0","1","0","0","0","0","1"
"Visita - AS Roma vs Bologna","1ST","23/08/2025","1","0","46%","0.07","0","2","2","3","0","210","5","7","1","0","1","0","1","0","1","1","0","0","0","0","0","1","160","11","18","0","15/35 (43%)","0/7 (0%)","56%","5","16/31 (52%)","7/10 (70%)","4/6 (67%)","80%","5","3","28","9","0","2","0","0","0","0","3"
"Local - AS Roma vs Bologna","2ND","23/08/2025","1","1","46%","1.22","2","7","1","2","0","157","6","8","1","0","2","0","4","1","4","3","1","1","0","0","1","1","124","11","21","0","16/27 (59%)","1/4 (25%)","50%","5","16/34 (47%)","9/16 (56%)","2/6 (33%)","50%","6","6","23","7","0","1","0","0","0","0","6"
"Visita - AS Roma vs Bologna","2ND","23/08/2025","1","0","54%","0.51","0","8","1","1","0","178","9","8","0","0","1","1","6","1","5","3","0","0","0","0","1","0","141","12","25","0","21/35 (60%)","4/7 (57%)","50%","3","18/34 (53%)","7/16 (44%)","1/4 (25%)","56%","9","2","26","7","0","1","0","0","0","0","4"
"Local - Cagliari vs Fiorentina","ALL","24/08/2025","1","1","45%","1.13","2","14","0","3","18","356","12","14","4","0","6","0","7","1","10","4","1","1","0","25","3","1","293","18","40","66/89 (74%)","26/43 (60%)","5/13 (38%)","42%","10","31/73 (42%)","8/20 (40%)","5/13 (38%)","58%","12","3","40","27","0","0","-0.22","0","0","0","7"
"Visita - Cagliari vs Fiorentina","ALL","24/08/2025","1","1","55%","0.98","2","4","4","2","14","439","18","18","2","0","1","0","2","1","2","2","1","1","0","10","3","4","365","15","52","51/92 (55%)","15/47 (32%)","4/9 (44%)","58%","6","42/73 (58%)","12/20 (60%)","7/13 (54%)","67%","18","6","41","16","0","4","0.02","1","0","0","12"
"Local - Cagliari vs Fiorentina","1ST","24/08/2025","1","0","44%","0.17","0","5","0","3","0","185","6","6","2","0","2","0","3","0","3","2","0","0","0","0","0","1","153","7","26","0","16/26 (62%)","4/10 (40%)","38%","2","14/32 (44%)","1/8 (13%)","2/7 (29%)","33%","6","2","18","8","0","0","0","0","0","0","3"
"Visita - Cagliari vs Fiorentina","1ST","24/08/2025","1","0","56%","0.00","0","0","1","1","0","247","7","10","0","0","0","0","0","0","0","0","0","0","0","0","2","1","211","8","23","0","5/19 (26%)","1/3 (33%)","62%","2","18/32 (56%)","7/8 (88%)","1/5 (20%)","57%","7","3","18","12","0","1","0","0","0","0","4"
"Local - Cagliari vs Fiorentina","2ND","24/08/2025","1","1","47%","0.97","2","9","0","0","0","171","6","8","2","0","4","0","4","1","7","2","1","1","0","0","3","0","140","11","14","0","10/17 (59%)","1/3 (33%)","45%","8","17/41 (41%)","7/12 (58%)","3/6 (50%)","83%","6","1","22","19","0","0","0","0","0","0","4"
"Visita - Cagliari vs Fiorentina","2ND","24/08/2025","1","1","53%","0.98","2","4","3","1","0","192","11","8","2","0","1","0","2","1","2","2","1","1","0","0","1","3","154","7","29","0","10/28 (36%)","3/6 (50%)","55%","4","24/41 (59%)","5/12 (42%)","6/8 (75%)","73%","11","3","23","4","0","3","0","0","0","0","8"
"Local - Como vs Lazio","ALL","24/08/2025","1","2","63%","1.32","2","19","1","6","15","537","25","12","2","0","6","1","12","1","12","7","1","1","1","32","4","0","484","24","41","96/124 (77%)","21/32 (66%)","4/15 (27%)","54%","10","51/95 (54%)","8/14 (57%)","14/28 (50%)","72%","25","10","35","8","0","1","0.29","0","1","0","6"
"Visita - Como vs Lazio","ALL","24/08/2025","1","0","37%","0.25","0","5","4","0","12","309","24","15","3","0","1","0","3","1","3","2","0","0","0","14","1","1","260","26","30","38/51 (75%)","20/33 (61%)","3/6 (50%)","46%","15","44/95 (46%)","6/14 (43%)","5/15 (33%)","50%","24","11","34","19","1","4","-0.12","2","1","0","11"
"Local - Como vs Lazio","1ST","24/08/2025","1","0","70%","0.58","0","8","1","3","0","306","10","4","2","0","2","0","5","1","7","1","0","0","0","0","2","0","278","17","22","0","11/17 (65%)","3/8 (38%)","46%","4","19/46 (41%)","5/6 (83%)","5/13 (38%)","60%","10","7","15","1","0","1","0","0","0","0","3"
"Visita - Como vs Lazio","1ST","24/08/2025","1","0","30%","0.12","0","2","2","0","0","133","12","11","1","0","1","0","1","0","2","0","0","0","0","0","0","0","108","10","12","0","8/16 (50%)","2/3 (67%)","54%","4","27/46 (59%)","1/6 (17%)","4/10 (40%)","42%","12","8","17","11","0","2","0","0","0","0","5"
"Local - Como vs Lazio","2ND","24/08/2025","1","2","57%","0.73","2","11","0","3","0","231","15","8","0","0","4","1","7","0","5","6","1","1","1","0","2","0","206","7","19","0","10/15 (67%)","1/7 (14%)","61%","6","32/49 (65%)","3/8 (38%)","9/15 (60%)","80%","15","3","20","7","0","0","0","0","0","0","3"
"Visita - Como vs Lazio","2ND","24/08/2025","1","0","43%","0.13","0","3","2","0","0","176","12","4","2","0","0","0","2","1","1","2","0","0","0","0","1","1","152","16","18","0","12/17 (71%)","1/3 (33%)","39%","11","17/49 (35%)","5/8 (63%)","1/5 (20%)","58%","12","3","17","8","0","2","0","0","0","0","6"
"Local - Atalanta vs Pisa","ALL","24/08/2025","1","1","66%","1.92","3","21","2","10","9","552","12","10","2","0","6","1","12","3","14","7","0","3","1","44","1","0","477","22","64","121/157 (77%)","33/53 (62%)","10/32 (31%)","48%","9","40/68 (59%)","17/51 (33%)","18/26 (69%)","67%","12","5","43","23","0","2","-0.33","0","1","0","9"
"Visita - Atalanta vs Pisa","ALL","24/08/2025","1","1","34%","0.63","1","11","5","4","10","289","17","9","0","0","2","0","6","3","7","4","0","1","1","13","5","2","218","13","47","44/80 (55%)","37/70 (53%)","6/15 (40%)","52%","8","28/68 (41%)","34/51 (67%)","4/8 (50%)","53%","17","8","49","32","1","5","1.04","2","1","0","13"
"Local - Atalanta vs Pisa","1ST","24/08/2025","1","0","60%","0.47","0","8","2","6","0","235","7","3","1","0","1","0","5","2","5","3","0","0","1","0","1","0","188","14","23","0","19/31 (61%)","3/13 (23%)","47%","5","16/27 (59%)","10/28 (36%)","6/8 (75%)","43%","7","4","19","15","0","2","0","0","0","0","7"
"Visita - Atalanta vs Pisa","1ST","24/08/2025","1","1","40%","0.47","1","6","1","3","0","154","7","5","0","0","2","0","4","0","4","2","0","1","1","0","2","0","115","9","28","0","20/38 (53%)","4/11 (36%)","53%","5","11/27 (41%)","18/28 (64%)","1/3 (33%)","71%","7","7","27","16","0","1","0","0","0","0","5"
"Local - Atalanta vs Pisa","2ND","24/08/2025","1","1","71%","1.44","3","13","0","4","0","317","5","7","1","0","5","1","7","1","9","4","0","3","0","0","0","0","289","8","41","0","14/22 (64%)","7/19 (37%)","48%","4","24/41 (59%)","7/23 (30%)","12/18 (67%)","100%","5","1","24","8","0","0","0","0","0","0","2"
"Visita - Atalanta vs Pisa","2ND","24/08/2025","1","0","29%","0.17","0","5","4","1","0","135","10","4","0","0","0","0","2","3","3","2","0","0","0","0","3","2","103","4","19","0","17/32 (53%)","2/4 (50%)","52%","3","17/41 (41%)","16/23 (70%)","3/5 (60%)","40%","10","1","22","16","0","4","0","0","0","0","8"
"Local - Juventus vs Parma","ALL","24/08/2025","1","2","64%","2.35","4","25","1","6","9","512","15","13","1","1","8","1","12","5","14","11","2","2","1","35","1","0","457","15","48","172/197 (87%)","13/28 (46%)","7/18 (39%)","62%","3","36/60 (60%)","25/39 (64%)","11/20 (55%)","60%","15","12","50","19","0","1","0.05","1","3","0","4"
"Visita - Juventus vs Parma","ALL","24/08/2025","1","0","36%","0.62","1","8","6","6","13","275","12","9","2","0","2","0","4","2","4","4","0","1","0","10","2","0","207","17","42","38/64 (59%)","23/51 (45%)","4/17 (24%)","38%","10","24/60 (40%)","14/39 (36%)","3/8 (38%)","58%","12","6","39","18","0","6","0.18","1","1","0","15"
"Local - Juventus vs Parma","1ST","24/08/2025","1","0","70%","1.01","2","12","0","3","0","271","10","5","1","0","3","0","8","1","7","5","0","2","1","0","1","0","249","7","34","0","9/15 (60%)","3/11 (27%)","61%","0","23/38 (61%)","11/18 (61%)","8/15 (53%)","40%","10","9","25","11","0","0","0","0","0","0","1"
"Visita - Juventus vs Parma","1ST","24/08/2025","1","0","30%","0.04","0","1","3","3","0","112","7","7","0","0","0","0","0","1","1","0","0","0","0","0","2","0","82","9","16","0","10/22 (45%)","1/8 (13%)","39%","7","15/38 (39%)","7/18 (39%)","1/4 (25%)","43%","7","1","19","13","0","3","0","0","0","0","8"
"Local - Juventus vs Parma","2ND","24/08/2025","1","2","59%","1.34","2","13","1","3","0","241","5","8","0","1","5","1","4","4","7","6","2","0","0","0","0","0","208","8","14","0","4/13 (31%)","4/7 (57%)","63%","3","13/22 (59%)","14/21 (67%)","3/5 (60%)","100%","5","3","25","8","0","1","0","0","0","0","3"
"Visita - Juventus vs Parma","2ND","24/08/2025","1","0","41%","0.58","1","7","3","3","0","163","5","2","2","0","2","0","4","1","3","4","0","1","0","0","0","0","125","8","26","0","13/29 (45%)","3/9 (33%)","37%","3","9/22 (41%)","7/21 (33%)","2/4 (50%)","80%","5","5","20","5","0","3","0","0","0","0","7"
"Local - Udinese vs Hellas Verona","ALL","25/08/2025","1","1","63%","0.73","1","14","2","5","10","478","13","14","3","0","4","2","6","4","8","6","1","0","1","18","1","2","416","19","61","85/121 (70%)","33/48 (69%)","4/21 (19%)","51%","14","36/77 (47%)","23/38 (61%)","10/18 (56%)","69%","13","3","38","35","0","2","-0.04","1","0","1","4"
"Visita - Udinese vs Hellas Verona","ALL","25/08/2025","1","1","37%","0.56","1","9","4","1","14","286","22","10","2","0","3","1","4","2","2","7","1","0","0","5","1","2","210","20","51","44/84 (52%)","24/58 (41%)","1/8 (13%)","49%","7","41/77 (53%)","15/38 (39%)","9/15 (60%)","55%","22","10","39","26","0","4","-0.24","0","1","2","9"
"Local - Udinese vs Hellas Verona","1ST","25/08/2025","1","0","67%","0.25","0","6","1","3","0","289","9","6","1","0","2","0","2","2","3","3","0","0","0","0","0","1","257","8","40","0","17/27 (63%)","2/12 (17%)","51%","11","22/47 (47%)","10/16 (63%)","7/13 (54%)","56%","9","3","25","18","0","1","0","0","0","0","1"
"Visita - Udinese vs Hellas Verona","1ST","25/08/2025","1","0","33%","0.09","0","3","3","0","0","147","17","4","0","0","1","0","1","1","0","3","0","0","0","0","1","1","102","7","25","0","12/30 (40%)","0/2 (0%)","49%","4","25/47 (53%)","6/16 (38%)","4/9 (44%)","53%","17","7","26","17","0","3","0","0","0","0","5"
"Local - Udinese vs Hellas Verona","2ND","25/08/2025","1","1","58%","0.48","1","8","1","2","0","189","4","8","2","0","2","2","4","2","5","3","1","0","1","0","1","1","159","11","21","0","16/21 (76%)","2/9 (22%)","52%","3","14/30 (47%)","13/22 (59%)","3/5 (60%)","100%","4","0","13","17","0","1","0","0","0","0","3"
"Visita - Udinese vs Hellas Verona","2ND","25/08/2025","1","1","42%","0.46","1","6","1","1","0","139","5","6","2","0","2","1","3","1","2","4","1","0","0","0","0","1","108","13","26","0","12/28 (43%)","1/6 (17%)","48%","3","16/30 (53%)","9/22 (41%)","5/6 (83%)","60%","5","3","13","9","0","1","0","0","0","0","4"
"Local - Inter vs Torino","ALL","25/08/2025","1","5","60%","1.59","6","20","4","6","14","577","14","6","0","0","9","0","8","3","14","6","4","2","0","37","1","4","530","12","41","83/104 (80%)","36/47 (77%)","7/14 (50%)","51%","5","25/57 (44%)","14/20 (70%)","5/10 (50%)","57%","14","6","46","16","2","4","1.16","0","1","0","5"
"Visita - Inter vs Torino","ALL","25/08/2025","1","0","40%","0.94","1","12","4","5","6","379","10","14","0","0","4","0","3","5","8","4","0","1","0","16","0","1","328","12","31","52/65 (80%)","20/41 (49%)","5/16 (31%)","49%","11","32/57 (56%)","6/20 (30%)","8/11 (73%)","40%","10","3","33","10","1","4","-2.34","3","1","0","7"
"Local - Inter vs Torino","1ST","25/08/2025","1","2","58%","0.73","2","11","3","4","0","295","11","2","0","0","5","0","5","1","8","3","1","1","0","0","0","4","269","9","24","0","17/23 (74%)","5/11 (45%)","52%","1","15/29 (52%)","7/13 (54%)","2/4 (50%)","64%","11","3","24","6","0","3","0","0","0","0","1"
"Visita - Inter vs Torino","1ST","25/08/2025","1","0","42%","0.33","0","5","3","2","0","211","3","6","0","0","3","0","1","1","3","2","0","0","0","0","0","0","185","7","14","0","13/25 (52%)","4/7 (57%)","48%","10","14/29 (48%)","6/13 (46%)","5/6 (83%)","33%","3","1","17","6","0","3","0","0","0","0","4"
"Local - Inter vs Torino","2ND","25/08/2025","1","3","62%","0.86","4","9","1","2","0","282","3","4","0","0","4","0","3","2","6","3","3","1","0","0","1","0","261","3","17","0","19/24 (79%)","2/3 (67%)","49%","4","10/28 (36%)","7/7 (100%)","3/6 (50%)","33%","3","3","22","10","0","1","0","0","0","0","4"
"Visita - Inter vs Torino","2ND","25/08/2025","1","0","38%","0.61","1","7","1","3","0","168","7","8","0","0","1","0","2","4","5","2","0","1","0","0","0","1","143","5","17","0","7/16 (44%)","1/9 (11%)","51%","1","18/28 (64%)","0/7 (0%)","3/5 (60%)","43%","7","2","16","4","0","1","0","0","0","0","3"
"Local - Cremonese vs Sassuolo","ALL","29/08/2025","2","3","42%","3.32","6","11","4","5","12","359","19","16","2","0","6","0","2","3","8","3","3","3","0","17","4","0","271","30","39","55/91 (60%)","21/58 (36%)","2/16 (13%)","57%","8","40/67 (60%)","15/30 (50%)","6/9 (67%)","63%","19","5","36","17","0","4","-0.04","2","0","0","6"
"Visita - Cremonese vs Sassuolo","ALL","29/08/2025","2","2","58%","1.32","2","9","3","4","17","507","11","11","2","0","6","1","2","1","6","3","2","0","0","22","2","2","428","14","57","78/115 (68%)","28/59 (47%)","4/14 (29%)","43%","9","27/67 (40%)","15/30 (50%)","5/15 (33%)","73%","11","3","46","27","0","3","0.20","0","0","0","3"
"Local - Cremonese vs Sassuolo","1ST","29/08/2025","2","2","42%","1.84","3","5","4","4","0","167","9","6","1","0","2","0","1","2","4","1","2","1","0","0","1","0","129","16","18","0","12/27 (44%)","1/8 (13%)","53%","1","16/29 (55%)","5/11 (45%)","2/4 (50%)","56%","9","3","16","7","0","4","0","0","0","0","2"
"Visita - Cremonese vs Sassuolo","1ST","29/08/2025","2","0","58%","0.18","0","5","0","3","0","242","3","8","1","0","4","1","0","1","3","2","0","0","0","0","1","1","207","8","25","0","13/28 (46%)","2/7 (29%)","47%","5","13/29 (45%)","6/11 (55%)","2/6 (33%)","67%","3","2","20","12","0","0","0","0","0","0","0"
"Local - Cremonese vs Sassuolo","2ND","29/08/2025","2","1","42%","1.47","3","6","0","1","0","192","10","10","1","0","4","0","1","1","4","2","1","2","0","0","3","0","142","14","21","0","9/31 (29%)","1/8 (13%)","60%","7","24/38 (63%)","10/19 (53%)","4/5 (80%)","70%","10","2","20","10","0","0","0","0","0","0","4"
"Visita - Cremonese vs Sassuolo","2ND","29/08/2025","2","2","58%","1.14","2","4","3","1","0","265","8","3","1","0","2","0","2","0","3","1","2","0","0","0","1","1","221","6","32","0","15/31 (48%)","2/7 (29%)","40%","4","14/38 (37%)","9/19 (47%)","3/9 (33%)","75%","8","1","26","15","0","3","0","0","0","0","3"
"Local - Lecce vs AC Milan","ALL","29/08/2025","2","0","45%","0.30","0","7","4","4","10","388","16","8","1","0","2","1","2","3","5","2","0","0","0","19","1","1","331","13","49","79/111 (71%)","31/51 (61%)","4/19 (21%)","49%","7","27/60 (45%)","13/22 (59%)","3/14 (21%)","56%","16","1","39","18","0","4","0.66","1","0","0","9"
"Visita - Lecce vs AC Milan","ALL","29/08/2025","2","2","55%","1.85","4","14","2","5","8","482","18","10","0","0","6","0","5","3","11","3","1","3","2","35","4","4","416","17","40","89/117 (76%)","23/51 (45%)","7/16 (44%)","51%","5","33/60 (55%)","9/22 (41%)","5/16 (31%)","61%","18","9","41","17","0","2","0.60","1","3","0","4"
"Local - Lecce vs AC Milan","1ST","29/08/2025","2","0","39%","0.12","0","3","1","1","0","179","14","5","0","0","0","1","1","2","2","1","0","0","0","0","0","1","150","2","18","0","15/27 (56%)","3/8 (38%)","54%","5","20/40 (50%)","9/14 (64%)","1/8 (13%)","64%","14","0","23","14","0","1","0","0","0","0","5"
"Visita - Lecce vs AC Milan","1ST","29/08/2025","2","0","61%","0.91","2","5","0","3","0","287","12","6","0","0","1","0","2","2","4","1","0","2","2","0","1","0","252","11","25","0","15/32 (47%)","3/10 (30%)","46%","4","20/40 (50%)","5/14 (36%)","2/12 (17%)","58%","12","3","16","4","0","0","0","0","0","0","4"
"Local - Lecce vs AC Milan","2ND","29/08/2025","2","0","52%","0.17","0","4","3","3","0","209","2","3","1","0","2","0","1","1","3","1","0","0","0","0","1","0","181","11","31","0","16/24 (67%)","1/11 (9%)","39%","2","7/20 (35%)","4/8 (50%)","2/6 (33%)","0%","2","1","16","4","0","3","0","0","0","0","4"
"Visita - Lecce vs AC Milan","2ND","29/08/2025","2","2","48%","0.93","2","9","2","2","0","195","6","4","0","0","5","0","3","1","7","2","1","1","0","0","3","4","164","6","15","0","8/19 (42%)","4/6 (67%)","61%","1","13/20 (65%)","4/8 (50%)","3/4 (75%)","67%","6","6","25","13","0","2","0","0","0","0","0"
"Local - Bologna vs Como","ALL","30/08/2025","2","1","36%","1.10","1","15","2","7","13","242","16","19","4","0","2","0","6","7","10","5","0","1","0","17","2","3","169","28","42","28/59 (47%)","21/56 (38%)","5/17 (29%)","52%","8","41/76 (54%)","12/25 (48%)","7/15 (47%)","69%","16","9","44","26","0","2","0.02","0","0","0","5"
"Visita - Bologna vs Como","ALL","30/08/2025","2","0","64%","0.69","0","13","1","4","19","459","16","13","4","0","2","0","5","6","8","5","0","0","0","30","0","0","379","21","49","54/88 (61%)","18/41 (44%)","4/11 (36%)","48%","11","35/76 (46%)","13/25 (52%)","6/11 (55%)","63%","16","7","42","25","0","1","-0.24","0","1","0","5"
"Local - Bologna vs Como","1ST","30/08/2025","2","0","41%","0.60","1","5","0","3","0","132","10","11","2","0","1","0","2","2","4","1","0","1","0","0","2","1","98","17","19","0","12/29 (41%)","2/9 (22%)","61%","3","23/37 (62%)","4/7 (57%)","3/8 (38%)","50%","10","5","16","6","0","0","0","0","0","0","4"
"Visita - Bologna vs Como","1ST","30/08/2025","2","0","59%","0.22","0","5","1","2","0","200","8","4","2","0","0","0","3","2","3","2","0","0","0","0","0","0","165","10","21","0","9/18 (50%)","2/5 (40%)","39%","6","14/37 (38%)","3/7 (43%)","2/6 (33%)","75%","8","3","17","12","0","1","0","0","0","0","3"
