referee_id,name,country,match_count,last_match_date,first_match_date,avg_yellow_cards,avg_red_cards,avg_booking_points,avg_fouls_total,avg_first_card_minute,avg_cards_1h,avg_cards_2h,avg_cards_et,competition_ids,competition_names,search_key,source_lots
181557,Erwin Blank,Netherlands,50,2026-08-21,2024-05-10,3.46,0.1,36.6,23.64,40.14,1.24,2.32,0.0,37|131,Eerste Divisie|Eredivisie,erwin blank,240
92295,Espen Eskas,Norway,50,2026-08-16,2022-08-12,3.28,0.1,34.8,21.16,41.25,1.08,2.3,0.0,20|185,Eliteserien|Super League Greece,espen eskas,240
113644,Fabio Jose Costa Verissimo,Portugal,50,2026-08-22,2024-08-11,5.86,0.22,63.0,26.34,21.64,2.52,3.56,0.0,185|238|239,Liga Portugal|Liga Portugal 2|Super League Greece,fabio jose costa verissimo,240
132765,Fabio Maresca,Italy,50,2026-08-29,2023-09-03,5.1,0.24,55.8,26.46,28.96,1.86,3.48,0.0,23|53,Serie A|Serie B,fabio maresca,240
786808,Fabio Melo,Portugal,50,2026-08-08,2021-05-08,5.92,0.22,63.6,29.54,27.36,2.2,3.94,0.0,238|239,Liga Portugal|Liga Portugal 2,fabio melo,240
789071,Facundo Raul Tello Figueroa,Argentina,50,2026-08-22,2024-06-01,5.54,0.16,58.6,27.2,27.56,2.2,3.5,0.0,155,Liga Profesional Argentina,facundo raul tello figueroa,240
786314,Faouzi Benchabane,France,50,2026-08-28,2023-08-19,3.98,0.12,42.2,28.72,29.9,1.54,2.56,0.0,182,Ligue 2,faouzi benchabane,240
788873,Farai Hallam,England,50,2026-08-22,2024-12-14,3.56,0.02,36.0,23.54,37.29,1.08,2.5,0.0,17|18|24|25,Championship|League One|League Two|Premier League,farai hallam,240
788750,Fatih Tokail,Türkiye,42,2026-08-22,2023-01-22,4.36,0.26,48.81,25.02,36.71,1.24,3.38,0.0,52|98,1. Lig|Süper Lig,fatih tokail,240
148307,Fedayi San,Switzerland,50,2026-05-17,2023-04-30,4.48,0.18,48.4,25.7,27.86,1.68,2.98,0.0,215,Swiss Super League,fedayi san,240
132779,Federico La Penna,Italy,50,2026-08-21,2023-11-27,4.3,0.26,48.2,27.92,33.39,1.42,3.14,0.0,23|53,Serie A|Serie B,federico la penna,240
787245,Felipe Fernandes de Lima,Brazil,50,2026-08-30,2024-06-23,5.12,0.3,57.2,30.86,31.48,1.96,3.46,0.0,325|390,Brasileirão Série A|Brasileirão Série B,felipe fernandes de lima,240
790504,Felipe Viola,Argentina,11,2026-08-22,2025-07-26,4.82,0.27,53.64,25.45,30.64,2.0,3.09,0.0,155,Liga Profesional Argentina,felipe viola,240
787282,Felix Bickel,Germany,14,2026-08-29,2025-08-24,3.93,0.21,43.57,22.57,33.57,1.29,2.86,0.0,44,2. Bundesliga,felix bickel,240
787602,Felix Prigan,Germany,28,2026-08-08,2024-08-23,5.14,0.14,54.29,23.0,28.36,1.79,3.5,0.0,44,2. Bundesliga,felix prigan,240
788559,Felix Wagner,Germany,10,2026-08-28,2025-08-23,5.3,0.2,57.0,24.8,39.4,1.2,4.3,0.0,44,2. Bundesliga,felix wagner,240
786805,Felix Weller,Germany,1,2026-08-29,2026-08-29,4.0,0.0,40.0,27.0,50.0,0.0,4.0,0.0,44,2. Bundesliga,felix weller,240
52417,Felix Zwayer,Germany,50,2026-08-29,2023-09-02,4.56,0.12,48.0,21.48,34.27,1.64,3.0,0.04,35|44|185,2. Bundesliga|Bundesliga|Super League Greece,felix zwayer,240
789411,Fernando Antonio Mendes de Salles Nascimento Filho,Brazil,41,2026-08-29,2024-04-20,5.17,0.27,57.07,28.45,35.71,1.41,4.02,0.0,325|390,Brasileirão Série A|Brasileirão Série B,fernando antonio mendes de salles nascimento filho,240
262437,Fernando Echenique,Argentina,50,2026-08-17,2024-05-18,5.46,0.38,62.2,26.78,27.26,2.24,3.54,0.06,155,Liga Profesional Argentina,fernando echenique,240
